,Sentence,Manika,Sophie,Consensus
0,"I once saw the dissertation process as only a demonstration and exercise, but quietly, Dr. Bragg made me realize this is an important opportunity to contribute to the discipline I have made my vocation, as well as an opportunity to make a quantum leap in personal growth.",Unknown Support ,Theses Advisor/Committee Members,
1,The intellect and care they brought to bear on this process is remarkable.,Unknown Support ,No Subject Found,
2,This project would not have been possible without the help of many people.,Unknown Support ,No Subject Found,
3,His suggestions and revisions,Incomplete Sentence,No Subject Found,
4,{ Jason Zych for teaching me to teach { Barb Cicone for helping me transition into Computer Science (it was my dream for so long).,"Incomplete Sentence, Moral Support",Tutoring Support,
5,I have many people to thank and I apologize in advance to anyone reading this who cannot  nd their name.,Unknown Support ,No Subject Found,
6,"Dr. Meyn was an outstanding mentor, displaying a perfect blend of velvet and steel.","Theses Advisor/Committee Members, Unknown Support ",Moral Support,
7,I owe profound thanks to a number of individuals and organizations.,Unknown Support ,No Subject Found,
8,Completing this thesis would never have been possible without generous assistance from many different people.,"No Subject Found, Unknown Support ",No Subject Found,
9,"Many thanks to the staff of the Computer Science department, including but not limited to: Barb Cicone, Donna Coleman, Mark Faust, Shirley Finke, Mary Beth Kelley, David E. Mussulman, and Joshua Stone for their prompt help and support at multiple junctures of my PhD studies.",Staff Support,Moral Support,
10,"Paul Adamczyk provided comments not only on this dissertation, but also on politics, history, geography and philosophy in general.",Unknown Support ,Moral Support,
11,I would also like to acknowledge Scott Cromar who has contributed signi cantly to Chapter 3 and who has also been a great sounding board for new ideas.,Writing Support,Moral Support,
12,"Last but not least, I would like to thank Sandra, Juan Fernando and Ana Paula for everything, especially for being my inspiration during this time.",Unknown Support ,Moral Support,
13,"This material re-used data gathered and software constructed for the Illinois State Library under Institute of Museum and Library Services National Leadership Grants, award numbers NR-10018 and LG-02030120.","Financial Support, Access to Data, Technical Support",Technical Support,
14,This research was supported in part by National Science Foundation Grant CNS 08-41336.,Financial Support,,
15,"I would like to thank my professor for giving me the freedom to pursue these topics; my friend and collegue Vlad for always being there with advice, questions, and help; and my wife for sacrificing much so I could accomplish this goal.","Theses Advisor/Committee Members, Moral Support",Moral Support,
