Original_Order,handle,Progress
38223,85845,Y
38225,85847,Y
38227,85849,Y
38228,85850,Y
38229,85851,Y
38230,85852,Y
38231,85853,Y
38233,85855,Y
38234,85856,Y
38235,85857,Y
38236,85858,Y
38238,85860,Y
38239,85861,Y
38241,85863,Y
38242,85864,Y
38244,85866,Y
38245,85867,Y
38246,85868,Y
38249,85871,Y
38250,85872,Y
38251,85873,Y
38253,85875,Y
38254,85876,Y
38255,85877,Y
38256,85878,Y
38257,85879,Y
38259,85881,Y
38260,85882,Y
38263,85885,Y
38264,85889,Y
38265,85890,Y
38266,85891,Y
38267,85892,Y
38268,85893,Y
38269,85894,Y
38270,85895,Y
38271,85896,Y
38274,85899,Y
38275,85900,Y
38276,85901,Y
38277,85902,Y
38279,85904,Y
38280,85905,Y
38282,85907,Y
38283,85908,Y
38284,85909,Y
38285,85910,Y
38287,85912,Y
38288,85913,Y
38290,85915,Y
38291,85916,Y
38292,85917,Y
38293,85918,Y
38294,85919,Y
38295,85920,Y
38296,85921,Y
38297,85922,Y
38298,85923,Y
38299,85924,Y
38300,85925,Y
38301,85926,Y
38303,85928,Y
38304,85929,Y
38305,85930,Y
38306,85931,Y
38308,85933,Y
38309,85934,Y
38311,85936,Y
38312,85937,Y
38313,85938,Y
38314,85939,Y
38315,85940,Y
38316,85941,Y
38317,85942,Y
38318,85943,Y
38320,85945,Y
38322,85947,Y
38323,85948,Y
38324,85949,Y
38325,85950,Y
38327,85952,Y
38329,85954,Y
38330,85955,Y
38331,85956,Y
38333,85958,Y
38335,85960,Y
38337,85962,Y
38339,85964,Y
38340,85965,Y
38342,85967,Y
38343,85968,Y
38344,85969,Y
38345,85970,Y
38346,85971,Y
38347,85972,Y
38348,85973,Y
38349,85974,Y
38350,85975,Y
38351,85976,Y
38352,85977,Y
38353,85978,Y
38355,85980,Y
38356,85981,Y
38357,85982,Y
38358,85983,Y
38359,85984,Y
38360,85985,Y
38361,85986,Y
38362,85987,Y
38364,85989,Y
38365,85990,Y
38368,85993,Y
38369,85994,Y
38370,85995,Y
38373,85998,Y
38374,85999,Y
38375,86000,Y
38377,86002,Y
38378,86003,Y
38379,86004,Y
38380,86005,Y
38381,86006,Y
38382,86007,Y
38383,86008,Y
38384,86009,Y
38385,86010,Y
38386,86011,Y
38387,86012,Y
38388,86013,Y
38390,86015,Y
38391,86016,Y
38393,86018,Y
38394,86019,Y
38396,86021,Y
38397,86022,Y
38398,86023,Y
38399,86024,Y
38400,86025,Y
38401,86026,Y
38402,86027,Y
38403,86028,Y
38404,86029,Y
38405,86030,Y
38406,86031,Y
38407,86032,Y
38408,86033,Y
38409,86034,Y
38410,86035,Y
38411,86036,Y
38412,86037,Y
38413,86038,Y
38414,86039,Y
38415,86040,Y
38416,86041,N
38417,86042,N
38418,86043,N
38420,86045,N
38422,86047,N
38424,86049,N
38425,86050,N
38426,86051,N
38427,86052,N
38428,86053,N
38430,86055,N
38432,86057,N
38436,86061,N
38437,86062,N
38438,86063,N
38439,86064,N
38441,86066,N
38442,86067,N
38443,86068,N
38445,86070,N
38446,86071,N
38447,86072,N
38448,86073,N
38449,86074,N
38451,86076,N
38452,86077,N
38453,86078,N
38454,86079,N
38455,86080,N
38456,86081,N
38457,86082,N
38458,86083,N
38459,86084,N
38461,86086,N
38462,86087,N
38463,86088,N
38464,86089,N
38465,86090,N
38469,86094,N
38470,86095,N
38471,86096,N
38473,86098,N
38476,86101,N
38478,86103,N
38479,86104,N
38480,86105,N
38481,86106,N
38482,86107,N
38484,86109,N
38485,86110,N
38486,86111,N
38487,86112,N
38488,86113,N
38489,86114,N
38490,86115,N
38491,86116,N
38493,86118,N
38494,86119,N
38495,86120,N
38497,86122,N
38498,86123,N
38500,86125,N
38501,86126,N
38502,86127,N
38503,86128,N
38505,86130,N
38507,86132,N
38509,86134,N
38512,86137,N
38513,86138,N
38516,86141,N
38517,86142,N
38519,86144,N
38520,86145,N
38521,86146,N
38526,86151,N
38527,86152,N
38528,86153,N
38529,86154,N
38530,86155,N
38531,86156,N
38533,86158,N
38534,86159,N
38535,86160,N
38536,86161,N
38538,86163,N
38539,86164,N
38540,86165,N
38544,86169,N
38546,86171,N
38548,86173,N
38549,86174,N
38554,86179,N
38555,86180,N
38556,86181,N
38557,86182,N
38560,86185,N
38561,86186,N
38562,86187,N
38563,86188,N
38564,86189,N
38565,86190,N
38566,86191,N
38567,86192,N
38568,86193,N
38570,86195,N
38571,86196,N
38572,86197,N
38573,86198,N
38574,86199,N
38575,86200,N
38576,86201,N
38578,86203,N
38579,86204,N
38580,86205,N
38582,86207,N
38585,86210,N
38586,86211,N
38587,86212,N
38592,86217,N
38593,86218,N
38594,86219,N
38595,86220,N
38596,86221,N
38598,86223,N
38599,86224,N
38600,86225,N
38601,86226,N
38602,86227,N
38604,86229,N
38605,86230,N
38606,86231,N
38607,86232,N
38608,86233,N
38609,86234,N
38610,86235,N
38611,86236,N
38612,86237,N
38614,86239,N
38615,86240,N
38616,86241,N
38618,86243,N
38619,86244,N
38620,86245,N
38622,86247,N
38623,86248,N
38624,86249,N
38625,86250,N
38626,86251,N
38627,86252,N
38628,86253,N
38633,86258,N
38638,86263,N
38639,86264,N
38640,86265,N
38641,86266,N
38642,86267,N
38643,86268,N
38644,86269,N
38646,86271,N
38647,86272,N
38649,86274,N
38650,86275,N
38651,86276,N
38652,86277,N
38653,86278,N
38654,86279,N
38655,86280,N
38656,86281,N
38657,86282,N
38658,86283,N
38665,86290,N
38666,86291,N
38669,86294,N
38671,86296,N
38672,86297,N
38673,86298,N
38676,86301,N
38677,86302,N
38678,86303,N
38679,86304,N
38682,86307,N
38683,86308,N
38684,86309,N
38685,86310,N
38687,86312,N
38688,86313,N
38689,86314,N
38690,86315,N
38691,86316,N
38692,86317,N
38693,86318,N
38694,86319,N
38695,86320,N
38696,86321,N
38697,86322,N
38698,86323,N
38699,86324,N
38701,86326,N
38702,86327,N
38706,86331,N
38708,86333,N
38710,86335,N
38711,86336,N
38712,86337,N
38714,86339,N
38715,86340,N
38716,86341,N
38717,86342,N
38718,86343,N
38719,86344,N
38720,86345,N
38722,86347,N
38724,86349,N
38725,86350,N
38726,86351,N
38729,86354,N
38730,86355,N
38731,86356,N
38732,86357,N
38733,86358,N
38734,86359,N
38737,86362,N
38739,86364,N
38741,86366,N
38742,86367,N
38744,86369,N
38745,86370,N
38746,86371,N
38747,86372,N
38748,86373,N
38749,86374,N
38750,86375,N
38751,86376,N
38752,86377,N
38753,86378,N
38754,86379,N
38756,86381,N
38757,86382,N
38758,86383,N
38759,86384,N
38760,86385,N
38761,86386,N
38763,86388,N
38764,86389,N
38765,86390,N
38766,86391,N
38767,86392,N
38768,86393,N
38769,86394,N
38770,86395,N
38771,86396,N
38772,86397,N
38773,86398,N
38774,86399,N
38775,86400,N
38776,86401,N
38777,86402,N
38778,86403,N
38779,86404,N
38781,86406,N
38782,86407,N
38784,86409,N
38785,86410,N
38786,86411,N
38787,86412,N
38790,86415,N
38791,86416,N
38792,86417,N
38793,86418,N
38794,86419,N
38795,86420,N
38796,86421,N
38797,86422,N
38798,86423,N
38799,86424,N
38800,86425,N
38801,86426,N
38802,86427,N
38803,86428,N
38804,86429,N
38805,86430,N
38806,86431,N
38807,86432,N
38808,86433,N
38809,86434,N
38810,86435,N
38811,86436,N
38812,86437,N
38813,86438,N
38814,86439,N
38815,86440,N
38816,86441,N
38817,86442,N
38818,86443,N
38819,86444,N
38820,86445,N
38821,86446,N
38822,86447,N
38824,86449,N
38825,86450,N
38826,86451,N
38827,86452,N
38828,86453,N
38829,86454,N
38831,86456,N
38832,86457,N
38833,86458,N
38834,86459,N
38835,86460,N
38836,86461,N
38837,86462,N
38838,86463,N
38839,86464,N
38840,86465,N
38842,86467,N
38843,86468,N
38844,86469,N
38845,86470,N
38846,86471,N
38847,86472,N
38848,86473,N
38849,86474,N
38850,86475,N
38851,86476,N
38852,86477,N
38853,86478,N
38854,86479,N
38855,86480,N
38856,86481,N
38858,86483,N
38859,86484,N
38860,86485,N
38861,86486,N
38862,86487,N
38863,86488,N
38864,86489,N
38865,86490,N
38868,86493,N
38869,86494,N
38870,86495,N
38871,86496,N
38872,86497,N
38873,86498,N
38874,86499,N
38875,86500,N
38876,86501,N
38878,86503,N
38879,86504,N
38880,86505,N
38881,86506,N
38882,86507,N
38883,86508,N
38884,86509,N
38885,86510,N
38886,86511,N
38888,86513,N
38889,86514,N
38890,86515,N
38891,86516,N
38892,86517,N
38893,86518,N
38894,86519,N
38895,86520,N
38896,86521,N
38897,86522,N
38898,86523,N
38900,86525,N
38902,86527,N
38903,86528,N
38905,86530,N
38906,86531,N
38907,86532,N
38909,86534,N
38910,86535,N
38911,86536,N
38912,86537,N
38913,86538,N
38914,86539,N
38915,86540,N
38916,86541,N
38917,86542,N
38918,86543,N
38919,86544,N
38920,86545,N
38921,86546,N
38924,86549,N
38925,86550,N
38926,86551,N
38927,86552,N
38928,86553,N
38929,86554,N
38930,86555,N
38931,86556,N
38932,86557,N
38933,86558,N
38934,86559,N
38936,86561,N
38937,86562,N
38938,86563,N
38939,86564,N
38940,86565,N
38941,86566,N
38942,86567,N
38943,86568,N
38944,86569,N
38945,86570,N
38947,86572,N
38948,86573,N
38950,86575,N
38952,86577,N
38953,86578,N
38954,86579,N
38955,86580,N
