Original_Order,handle,Progress
28836,72153,Y
28837,72154,Y
28838,72155,Y
28839,72156,Y
28840,72157,Y
28841,72158,Y
28842,72159,Y
28843,72160,Y
28844,72161,Y
28845,72162,Y
28846,72163,Y
28847,72164,Y
28848,72165,Y
28849,72166,Y
28850,72167,Y
28851,72168,Y
28852,72169,Y
28853,72170,Y
28854,72171,Y
28855,72172,Y
28856,72173,Y
28857,72174,Y
28858,72175,Y
28859,72176,Y
28860,72177,Y
28861,72178,Y
28862,72179,Y
28863,72180,Y
28864,72181,Y
28865,72182,Y
28866,72183,Y
28867,72184,Y
28868,72185,Y
28869,72186,Y
28870,72187,Y
28871,72188,Y
28872,72189,Y
28873,72190,Y
28875,72192,Y
28876,72193,Y
28877,72194,Y
28878,72195,Y
28879,72196,Y
28881,72198,Y
28882,72199,Y
28883,72200,Y
28884,72201,Y
28885,72202,Y
28886,72203,Y
28887,72204,Y
28888,72205,Y
28889,72206,Y
28890,72207,Y
28891,72208,Y
28892,72209,Y
28893,72210,Y
28894,72211,Y
28895,72212,Y
28896,72213,Y
28897,72214,Y
28898,72215,Y
28899,72216,Y
28900,72217,Y
28901,72218,Y
28902,72219,Y
28903,72220,Y
28904,72221,Y
28905,72222,Y
28906,72223,Y
28907,72224,Y
28908,72225,Y
28909,72226,Y
28910,72227,Y
28911,72228,Y
28912,72229,Y
28914,72231,Y
28915,72232,Y
28916,72233,Y
28917,72234,Y
28918,72235,Y
28919,72236,Y
28920,72237,Y
28921,72238,Y
28922,72239,Y
28923,72240,Y
28924,72241,Y
28926,72243,Y
28927,72244,Y
28928,72245,Y
28929,72246,Y
28930,72247,Y
28931,72248,Y
28932,72249,Y
28933,72250,Y
28934,72251,Y
28935,72252,Y
28936,72253,Y
28937,72254,Y
28938,72255,Y
28939,72256,Y
28940,72257,Y
28941,72258,Y
28942,72259,Y
28943,72260,Y
28947,72264,Y
28948,72265,Y
28949,72266,Y
28950,72267,Y
28951,72268,Y
28952,72269,Y
28953,72270,Y
28954,72271,Y
28956,72273,Y
28957,72274,Y
28958,72275,Y
28959,72276,Y
28960,72277,Y
28961,72278,Y
28962,72279,Y
28963,72280,Y
28964,72281,Y
28965,72282,Y
28966,72283,Y
28967,72284,Y
28968,72285,Y
28969,72286,Y
28970,72287,Y
28971,72288,Y
28972,72289,Y
28973,72290,Y
28974,72291,Y
28976,72293,Y
28977,72294,Y
28978,72295,Y
28979,72296,Y
28980,72297,Y
28981,72298,Y
28982,72299,Y
28983,72300,Y
28984,72301,Y
28985,72302,Y
28987,72304,Y
28988,72305,Y
28989,72306,Y
28991,72308,Y
28992,72309,Y
28993,72310,Y
28995,72312,Y
28996,72313,Y
28998,72315,Y
28999,72316,Y
29002,72319,Y
29003,72320,Y
29006,72323,Y
29007,72324,Y
29009,72326,Y
29010,72327,Y
29011,72328,Y
29012,72329,Y
29014,72331,Y
29015,72332,Y
29016,72333,Y
29017,72334,Y
29018,72335,Y
29019,72336,Y
29020,72337,Y
29021,72338,Y
29022,72339,Y
29023,72340,Y
29024,72341,Y
29025,72342,Y
29027,72344,Y
29028,72345,Y
29032,72349,Y
29034,72351,Y
29035,72352,Y
29036,72353,Y
29037,72354,Y
29038,72355,Y
29039,72356,Y
29041,72358,Y
29042,72359,Y
29043,72360,Y
29044,72361,Y
29046,72363,Y
29047,72364,Y
29048,72365,Y
29049,72366,Y
29050,72367,Y
29051,72368,Y
29052,72369,Y
29053,72370,Y
29054,72371,Y
29055,72372,Y
29057,72374,Y
29058,72375,Y
29059,72376,Y
29060,72377,Y
29061,72378,Y
29062,72379,Y
29063,72380,Y
29064,72381,Y
29065,72382,Y
29066,72383,Y
29067,72384,Y
29068,72385,Y
29069,72386,Y
29070,72387,Y
29071,72388,Y
29072,72389,Y
29073,72390,Y
29075,72392,Y
29076,72393,Y
29077,72394,Y
29078,72395,Y
29079,72396,Y
29080,72397,Y
