Original_Order,handle,Progress
8972,30857,Y
8974,30859,Y
8975,30860,Y
8976,30862,Y
8977,30863,Y
8978,30864,Y
8979,30865,Y
8980,30866,Y
8981,30867,Y
8982,30874,Y
8984,30876,Y
8985,30877,Y
8986,30878,Y
8987,30879,Y
8988,30880,Y
8989,30881,Y
8991,30884,Y
8992,30885,Y
8993,30886,Y
8995,30888,Y
8996,30889,Y
8997,30890,Y
8998,30891,Y
8999,30892,Y
9001,30894,Y
9002,30895,Y
9005,30898,Y
9006,30899,Y
9008,30901,Y
9009,30902,Y
9010,30903,Y
9012,30905,Y
9014,30907,Y
9015,30908,Y
9016,30909,Y
9017,30910,Y
9018,30911,Y
9019,30912,Y
9021,30914,Y
9022,30915,Y
9023,30916,Y
9024,30917,Y
9027,30920,Y
9028,30921,Y
9029,30922,Y
9030,30923,Y
9036,30929,Y
9038,30931,Y
9039,30932,Y
9041,30934,Y
9042,30935,Y
9043,30936,Y
9044,30937,Y
9045,30938,Y
9047,30940,Y
9048,30941,Y
9049,30942,Y
9050,30943,Y
9051,30944,Y
9052,30945,Y
9054,30947,Y
9055,30948,Y
9056,30949,Y
9057,30950,Y
9058,30951,Y
9059,30952,Y
9060,30953,Y
9061,30954,Y
9063,30956,Y
9065,30958,Y
9069,30962,Y
9071,30964,Y
9072,30965,Y
9073,30966,Y
9074,30967,Y
9075,30968,Y
9077,30970,Y
9078,30971,Y
9080,30973,Y
9085,30978,Y
9089,30982,Y
9090,30983,Y
9091,30984,Y
9092,30985,Y
9097,30990,Y
9101,30994,Y
9102,30995,Y
9105,30998,Y
9107,31000,Y
9111,31004,Y
9112,31005,Y
9114,31007,Y
9115,31008,Y
9117,31010,Y
9118,31011,Y
9119,31012,Y
9122,31015,Y
9123,31016,Y
9125,31018,Y
9126,31019,Y
9127,31020,Y
9128,31021,Y
9131,31024,Y
9133,31026,Y
9134,31027,Y
9136,31029,Y
9137,31030,Y
9139,31032,Y
9141,31034,Y
9144,31037,Y
9146,31039,Y
9147,31040,Y
9150,31043,Y
9153,31046,Y
9156,31049,Y
9158,31051,Y
9159,31052,Y
9160,31053,Y
9161,31054,Y
9164,31057,Y
9166,31059,Y
9167,31060,Y
9168,31061,Y
9170,31063,Y
9172,31065,Y
9173,31066,Y
9176,31069,Y
9178,31071,Y
9179,31072,Y
9181,31074,Y
9184,31077,Y
9185,31078,Y
9189,31082,Y
9190,31083,Y
9191,31084,Y
9192,31085,Y
9193,31086,Y
9195,31088,Y
9196,31089,Y
9199,31092,Y
9200,31093,Y
9202,31095,Y
9204,31097,Y
9205,31098,Y
9207,31100,Y
9211,31104,Y
9212,31105,Y
9213,31106,Y
9214,31107,Y
9216,31109,Y
9217,31110,Y
9218,31111,Y
9222,31115,Y
9223,31116,Y
9224,31117,Y
9226,31119,Y
9229,31122,Y
9230,31123,Y
9231,31124,Y
9233,31126,Y
9234,31127,Y
9236,31129,Y
9237,31130,Y
9240,31133,Y
9243,31136,Y
9245,31138,Y
9247,31140,Y
9249,31142,Y
9251,31144,Y
9253,31146,Y
9255,31148,Y
9256,31149,Y
9257,31150,Y
9259,31152,Y
9260,31153,Y
9262,31155,Y
9263,31156,Y
9264,31157,Y
9265,31158,Y
9270,31163,Y
9275,31168,Y
9277,31170,Y
9279,31172,Y
9280,31173,Y
9281,31174,Y
9282,31175,Y
9283,31176,Y
9284,31177,Y
9285,31178,Y
9287,31180,Y
9289,31182,Y
9290,31183,Y
9293,31186,Y
9295,31188,Y
9297,31190,Y
9298,31191,Y
9299,31192,Y
9301,31194,Y
9302,31195,Y
9303,31196,Y
9305,31198,Y
9307,31200,Y
9308,31201,Y
9309,31202,Y
9312,31205,Y
9313,31206,Y
9316,31209,Y
9318,31211,Y
9319,31212,Y
9321,31214,Y
9323,31216,Y
9326,31219,Y
9327,31220,Y
9333,31230,Y
9334,31231,Y
9335,31232,Y
9337,31235,Y
9338,31236,Y
9339,31237,Y
9340,31238,Y
9341,31239,Y
9342,31240,Y
9344,31242,Y
9345,31243,Y
9346,31244,Y
9347,31246,Y
9348,31247,Y
9350,31249,Y
9351,31250,Y
9352,31251,Y
9353,31252,Y
9356,31255,Y
9357,31256,Y
9358,31257,Y
9359,31296,Y
9360,31297,Y
9361,31298,Y
9363,31300,Y
9365,31302,Y
9366,31304,Y
9367,31305,Y
9368,31306,Y
9369,31307,Y
9372,31310,Y
9376,31315,Y
9377,31316,Y
9378,31317,Y
9379,31318,Y
9380,31319,Y
9381,31321,Y
9382,31322,Y
9383,31324,Y
9384,31325,Y
9385,31326,Y
9386,31327,Y
9388,31330,Y
9389,31331,Y
9390,31332,Y
9391,31338,Y
9392,31340,Y
9393,31342,Y
9394,31343,Y
9395,31344,Y
9398,31379,Y
9400,31390,Y
9401,31389,Y
9402,31391,Y
9403,31392,Y
9404,31393,Y
9405,31394,Y
9406,31395,Y
9407,31396,Y
9408,31397,Y
9409,31398,Y
9410,31446,Y
9411,31905,Y
9412,31906,Y
9413,31907,Y
9415,31909,Y
9418,31912,Y
9419,31913,Y
9422,31916,Y
9423,31917,Y
9425,31919,Y
9428,31922,Y
9429,31923,Y
9431,31925,Y
9435,31929,Y
9441,31935,Y
9442,31936,Y
9443,31937,Y
9446,31940,Y
9447,31941,Y
9456,31950,Y
9457,31951,Y
9459,31953,Y
9460,31954,Y
9461,31955,Y
9462,31956,Y
9464,31958,Y
9465,31959,Y
9467,31961,Y
9469,31963,Y
9471,31965,Y
9472,31966,Y
9473,31967,Y
9475,31969,Y
9477,31971,Y
9481,31975,Y
9482,31976,Y
9483,31977,Y
9484,31978,Y
9485,31979,Y
9492,31986,Y
9495,31989,Y
9496,31990,Y
9497,31991,Y
9500,31994,Y
9502,31996,Y
9506,32000,Y
9510,32004,Y
9511,32005,Y
9512,32006,Y
9513,32007,Y
9514,32008,Y
9515,32009,Y
9519,32013,Y
9521,32015,Y
9525,32019,Y
9528,32022,Y
9529,32023,Y
9530,32024,Y
9531,32025,Y
9532,32026,Y
9536,32030,Y
9539,32033,Y
9543,32037,Y
9545,32039,Y
9548,32042,Y
9550,32044,Y
9554,32048,Y
9555,32049,Y
9557,32051,Y
9559,32053,Y
9563,32057,Y
9564,32058,Y
9565,32059,Y
9566,32060,Y
9568,32062,Y
9569,32063,Y
9573,32067,Y
9574,32068,Y
9575,32069,Y
9576,32070,Y
9578,32072,Y
9584,32078,Y
9585,32079,Y
9586,32080,Y
9588,32082,Y
9589,32083,Y
9590,32084,Y
9593,32088,Y
9594,32089,Y
9596,32091,Y
9597,32092,Y
9598,32094,Y
9599,32097,Y
9600,32103,Y
9601,32104,Y
9602,32105,Y
9603,32106,Y
9604,32107,Y
9605,32108,Y
9606,32120,Y
9607,32121,Y
9608,32122,Y
9610,32126,Y
9611,33760,Y
9612,33761,Y
9614,33766,Y
9615,34193,Y
9617,34195,Y
9620,34198,Y
9622,34200,Y
9623,34201,Y
9624,34202,Y
9625,34203,Y
9626,34204,Y
9627,34205,Y
