Original_Order,handle,Progress
231,14706,Y
232,14707,Y
234,14709,Y
235,14710,Y
236,14711,Y
239,14714,Y
240,14715,Y
244,14719,Y
248,14723,Y
252,14727,Y
253,14728,Y
257,14732,Y
258,14733,Y
260,14735,Y
261,14736,Y
265,14741,Y
266,14742,Y
267,14743,Y
269,14745,Y
270,14746,Y
271,14747,Y
272,14748,Y
280,14756,Y
281,14757,Y
282,14758,Y
284,14760,Y
291,14767,Y
294,14840,Y
295,14856,Y
296,15304,Y
297,15487,Y
300,15499,Y
301,15500,Y
303,15502,Y
304,15503,Y
305,15504,Y
306,15505,Y
308,15507,Y
310,15509,Y
311,15510,Y
312,15511,Y
313,15512,Y
314,15513,Y
316,15515,Y
317,15516,Y
318,15517,Y
319,15518,Y
322,15521,Y
325,15524,Y
326,15525,Y
329,15528,Y
330,15529,Y
331,15530,Y
337,15536,Y
338,15537,Y
339,15538,Y
342,15541,Y
344,15543,Y
347,15546,Y
348,15547,Y
349,15548,Y
350,15549,Y
351,15550,Y
353,15552,Y
355,15554,Y
357,15556,Y
361,15560,Y
364,15563,Y
365,15564,Y
366,15565,Y
367,15566,Y
368,15567,Y
369,15568,Y
374,15573,Y
375,15574,Y
376,15575,Y
379,15578,Y
383,15582,Y
385,15584,Y
387,15586,Y
388,15587,Y
389,15588,Y
390,15589,Y
392,15591,Y
393,15592,Y
395,15594,Y
397,15596,Y
399,15598,Y
400,15599,Y
402,15601,Y
405,15966,Y
406,15967,Y
407,15968,Y
408,15969,Y
410,15971,Y
412,15973,Y
414,15975,Y
416,15977,Y
418,15979,Y
419,15980,Y
420,15981,Y
422,15983,Y
424,15985,Y
426,15987,Y
428,15989,Y
431,15992,Y
433,15994,Y
434,15995,Y
437,15998,Y
438,15999,Y
441,16002,Y
442,16003,Y
443,16004,Y
445,16006,Y
447,16008,Y
448,16009,Y
450,16011,Y
451,16012,Y
454,16015,Y
456,16017,Y
457,16018,Y
459,16020,Y
460,16021,Y
461,16022,Y
462,16023,Y
467,16028,Y
469,16031,Y
470,16032,Y
475,16037,Y
476,16038,Y
478,16040,Y
485,16047,Y
486,16048,Y
488,16050,Y
489,16051,Y
490,16052,Y
491,16053,Y
492,16054,Y
493,16055,Y
494,16056,Y
495,16057,Y
496,16058,Y
497,16059,Y
500,16062,Y
502,16064,Y
503,16065,Y
504,16066,Y
505,16067,Y
507,16069,Y
508,16070,Y
509,16071,Y
511,16073,Y
512,16074,Y
515,16077,Y
517,16079,Y
518,16080,Y
520,16082,Y
521,16083,Y
523,16085,Y
524,16086,Y
525,16087,Y
526,16088,Y
528,16090,Y
533,16095,Y
534,16096,Y
536,16098,skip
537,16099,skip
539,16101,Y
540,16102,Y
541,16103,Y
542,16104,Y
543,16105,Y
544,16106,Y
545,16107,Y
546,16108,Y
547,16109,Y
549,16111,Y
551,16113,Y
553,16116,Y
554,16117,Y
556,16119,Y
557,16120,Y
558,16121,Y
559,16122,Y
561,16124,Y
562,16125,Y
563,16126,Y
564,16127,Y
565,16128,Y
567,16130,Y
569,16132,Y
572,16135,Y
573,16136,Y
574,16137,Y
577,16140,Y
578,16141,Y
579,16142,Y
580,16143,Y
581,16144,Y
583,16146,Y
588,16151,Y
590,16153,Y
592,16155,Y
593,16156,Y
595,16158,Y
596,16159,Y
599,16162,Y
602,16165,Y
603,16166,Y
606,16169,Y
607,16170,Y
609,16172,Y
610,16173,Y
611,16174,Y
613,16176,Y
614,16177,Y
616,16179,Y
618,16181,Y
619,16182,Y
620,16183,Y
621,16184,Y
622,16185,Y
623,16186,Y
625,16188,Y
627,16190,Y
628,16191,Y
630,16193,Y
631,16194,Y
633,16196,Y
634,16197,Y
637,16200,Y
638,16201,Y
641,16204,Y
643,16206,Y
645,16208,Y
648,16211,Y
653,16216,Y
654,16217,Y
657,16220,Y
658,16221,Y
659,16222,Y
660,16223,Y
661,16224,Y
662,16225,Y
663,16226,Y
665,16228,Y
668,16231,Y
669,16232,Y
671,16234,Y
674,16259,Y
675,16260,Y
678,16263,Y
680,16265,Y
681,16266,Y
683,16268,Y
685,16270,Y
686,16271,Y
688,16306,Y
702,16475,Y
703,16476,Y
704,16477,Y
706,16479,Y
707,16480,Y
709,16482,Y
713,16486,Y
714,16487,Y
715,16488,Y
716,16489,Y
717,16490,Y
720,16493,Y
726,16499,Y
734,16509,Y
735,16513,Y
736,16519,Y
737,16521,Y
739,16523,Y
741,16525,Y
742,16526,Y
744,16528,Y
747,16531,Y
749,16533,Y
751,16535,Y
753,16537,Y
755,16543,Y
756,16545,Y
757,16556,Y
758,16558,Y
761,16591,Y
762,16620,Y
763,16115,Y
764,16700,Y
765,16701,Y
769,16705,Y
774,16710,Y
