Original_Order,handle,Progress
20598.0,63838.0,Y
20599.0,63839.0,Y
20600.0,63840.0,Y
20601.0,63841.0,Y
20602.0,63842.0,Y
20603.0,63843.0,Y
20604.0,63844.0,Y
20605.0,63845.0,Y
20606.0,63846.0,Y
20607.0,63847.0,Y
20609.0,63849.0,Y
20610.0,63850.0,Y
20611.0,63851.0,Y
20612.0,63852.0,Y
20613.0,63853.0,Y
20614.0,63854.0,Y
20615.0,63855.0,Y
20617.0,63857.0,Y
20618.0,63858.0,Y
20619.0,63859.0,Y
20620.0,63860.0,skip
20621.0,63861.0,skip
20622.0,63862.0,skip
20623.0,63863.0,skip
20624.0,63864.0,skip
20625.0,63865.0,skip
20626.0,63866.0,skip
20627.0,63867.0,Y
20628.0,63868.0,Y
20629.0,63869.0,Y
20630.0,63870.0,Y
20631.0,63871.0,Y
20632.0,63872.0,Y
20633.0,63873.0,Y
20634.0,63874.0,Y
20635.0,63875.0,Y
20636.0,63876.0,Y
20637.0,63877.0,Y
20638.0,63878.0,Y
20639.0,63879.0,Y
20640.0,63880.0,Y
20641.0,63881.0,Y
20642.0,63882.0,Y
20643.0,63883.0,Y
20644.0,63884.0,Y
20645.0,63885.0,Y
20646.0,63886.0,Y
20647.0,63887.0,Y
20648.0,63888.0,Y
20649.0,63889.0,Y
20650.0,63890.0,Y
20651.0,63891.0,Y
20652.0,63892.0,Y
20653.0,63893.0,Y
20654.0,63894.0,Y
20655.0,63895.0,Y
20656.0,63896.0,Y
20657.0,63897.0,Y
20658.0,63898.0,Y
20660.0,63900.0,Y
20661.0,63901.0,Y
20662.0,63902.0,Y
20663.0,63903.0,Y
20664.0,63904.0,Y
20665.0,63905.0,Y
20667.0,63907.0,Y
20668.0,63908.0,Y
20669.0,63909.0,Y
20670.0,63910.0,Y
20673.0,63913.0,Y
20674.0,63914.0,Y
20675.0,63915.0,Y
20676.0,63916.0,Y
20677.0,63917.0,Y
20678.0,63918.0,Y
20679.0,63919.0,Y
20680.0,63920.0,Y
20681.0,63921.0,Y
20684.0,63924.0,Y
20685.0,63925.0,Y
20686.0,63926.0,Y
20687.0,63927.0,Y
20688.0,63928.0,Y
20690.0,63930.0,Y
20691.0,63931.0,Y
20692.0,63932.0,Y
20695.0,63935.0,Y
20696.0,63936.0,Y
20698.0,63938.0,Y
20699.0,63939.0,Y
20700.0,63940.0,Y
20701.0,63941.0,Y
20702.0,63942.0,Y
20703.0,63943.0,Y
20704.0,63944.0,Y
20705.0,63945.0,Y
20706.0,63946.0,Y
20707.0,63947.0,Y
20708.0,63948.0,Y
20710.0,63950.0,Y
20711.0,63951.0,Y
20712.0,63952.0,Y
20713.0,63953.0,Y
20714.0,63954.0,Y
20716.0,63956.0,Y
20717.0,63957.0,Y
20718.0,63958.0,Y
20719.0,63959.0,Y
20720.0,63960.0,Y
20721.0,63961.0,Y
20722.0,63962.0,Y
20724.0,63964.0,Y
20725.0,63965.0,Y
20726.0,63966.0,Y
20727.0,63967.0,Y
20728.0,63968.0,Y
20729.0,63969.0,Y
20730.0,63970.0,Y
20731.0,63971.0,Y
20732.0,63972.0,Y
20733.0,63973.0,Y
20734.0,63974.0,Y
20735.0,63975.0,Y
20736.0,63976.0,Y
20737.0,63977.0,Y
20738.0,63978.0,Y
20739.0,63979.0,Y
20740.0,63980.0,Y
20741.0,63981.0,Y
20742.0,63982.0,Y
20743.0,63983.0,Y
20744.0,63984.0,Y
20745.0,63985.0,Y
20746.0,63986.0,Y
20747.0,63987.0,Y
20748.0,63988.0,Y
20749.0,63989.0,Y
20751.0,63991.0,Y
20752.0,63992.0,Y
20753.0,63993.0,Y
20754.0,63994.0,Y
20755.0,63995.0,Y
20756.0,63996.0,Y
20757.0,63997.0,Y
20758.0,63998.0,Y
20759.0,63999.0,Y
20760.0,64000.0,Y
20761.0,64001.0,Y
20762.0,64002.0,Y
20763.0,64003.0,Y
20764.0,64004.0,Y
20765.0,64005.0,Y
20766.0,64006.0,Y
20767.0,64007.0,Y
20768.0,64008.0,Y
20769.0,64009.0,Y
20771.0,64011.0,Y
20772.0,64012.0,Y
20773.0,64013.0,Y
20774.0,64014.0,Y
20776.0,64016.0,Y
20777.0,64017.0,Y
20778.0,64018.0,Y
20779.0,64019.0,Y
20780.0,64020.0,Y
20782.0,64022.0,Y
20784.0,64024.0,Y
20785.0,64025.0,Y
20786.0,64026.0,Y
20787.0,64027.0,Y
20788.0,64028.0,Y
20789.0,64029.0,Y
20790.0,64030.0,Y
20791.0,64031.0,Y
20792.0,64032.0,Y
20793.0,64033.0,Y
20794.0,64034.0,Y
20795.0,64035.0,Y
20796.0,64036.0,Y
20797.0,64037.0,Y
20798.0,64038.0,Y
20799.0,64039.0,Y
20800.0,64040.0,Y
20801.0,64041.0,Y
20802.0,64042.0,Y
20803.0,64043.0,Y
20805.0,64045.0,Y
20806.0,64046.0,Y
20807.0,64047.0,Y
20808.0,64048.0,Y
20809.0,64049.0,Y
20810.0,64050.0,Y
20811.0,64051.0,Y
20812.0,64052.0,Y
20813.0,64053.0,Y
20814.0,64054.0,Y
20815.0,64055.0,Y
20816.0,64056.0,Y
20817.0,64057.0,Y
20818.0,64058.0,Y
20821.0,64061.0,Y
20822.0,64062.0,Y
20823.0,64063.0,Y
20824.0,64064.0,Y
20826.0,64066.0,Y
20827.0,64067.0,Y
20828.0,64068.0,Y
20830.0,64070.0,Y
20831.0,64071.0,Y
20832.0,64072.0,Y
20833.0,64073.0,Y
20835.0,64075.0,Y
20836.0,64076.0,Y
20837.0,64077.0,Y
20838.0,64078.0,Y
20839.0,64079.0,Y
20841.0,64081.0,Y
20842.0,64082.0,Y
20843.0,64083.0,Y
20844.0,64084.0,Y
20845.0,64085.0,Y
20846.0,64086.0,Y
20847.0,64087.0,Y
20848.0,64088.0,Y
20849.0,64089.0,Y
20851.0,64091.0,Y
20852.0,64092.0,Y
20854.0,64094.0,Y
20855.0,64095.0,Y
20857.0,64097.0,Y
20858.0,64098.0,Y
20859.0,64099.0,Y
20860.0,64100.0,Y
20861.0,64101.0,Y
20862.0,64102.0,Y
20863.0,64103.0,Y
20865.0,64105.0,Y
20866.0,64106.0,Y
20867.0,64107.0,Y
20869.0,64109.0,Y
20870.0,64110.0,Y
20871.0,64111.0,Y
20872.0,64112.0,Y
20874.0,64114.0,Y
20875.0,64115.0,Y
20876.0,64116.0,Y
20877.0,64117.0,Y
20878.0,64118.0,Y
20879.0,64119.0,Y
20880.0,64120.0,Y
20881.0,64121.0,Y
20885.0,64125.0,Y
20890.0,64130.0,Y
20896.0,64136.0,Y
20897.0,64137.0,Y
20898.0,64138.0,Y
20902.0,64142.0,Y
20904.0,64144.0,Y
20914.0,64154.0,Y
20917.0,64157.0,Y
20920.0,64160.0,Y
20921.0,64161.0,Y
20923.0,64163.0,Y
20926.0,64166.0,Y
20928.0,64168.0,Y
20929.0,64169.0,Y
20930.0,64170.0,Y
20931.0,64171.0,Y
20932.0,64172.0,Y
20933.0,64173.0,Y
20934.0,64174.0,Y
20935.0,64175.0,Y
20936.0,64176.0,Y
20937.0,64177.0,Y
20938.0,64178.0,Y
20939.0,64179.0,Y
20940.0,64180.0,Y
20941.0,64181.0,Y
20942.0,64182.0,Y
20943.0,64183.0,Y
20944.0,64184.0,Y
20945.0,64185.0,Y
20946.0,64186.0,Y
20947.0,64187.0,Y
20948.0,64188.0,Y
20949.0,64189.0,Y
20950.0,64190.0,Y
20951.0,64191.0,Y
20952.0,64192.0,Y
20953.0,64193.0,Y
20954.0,64194.0,Y
20955.0,64195.0,Y
20956.0,64196.0,Y
20957.0,64197.0,Y
20958.0,64198.0,Y
20959.0,64199.0,Y
20960.0,64200.0,Y
20961.0,64201.0,Y
20962.0,64202.0,Y
20963.0,64203.0,Y
20964.0,64204.0,Y
20965.0,64205.0,Y
20966.0,64206.0,Y
20967.0,64207.0,Y
20968.0,64208.0,Y
20969.0,64209.0,Y
20970.0,64210.0,Y
20971.0,64211.0,Y
20972.0,64212.0,Y
20973.0,64213.0,Y
20974.0,64214.0,Y
20975.0,64215.0,Y
20976.0,64216.0,Y
20977.0,64217.0,Y
20978.0,64218.0,Y
20979.0,64219.0,Y
20980.0,64220.0,Y
20981.0,64221.0,Y
20982.0,64222.0,Y
20983.0,64223.0,Y
20984.0,64224.0,Y
20985.0,64225.0,Y
20986.0,64226.0,Y
20987.0,64227.0,Y
20988.0,64228.0,Y
20989.0,64229.0,Y
20990.0,64230.0,Y
20992.0,64232.0,Y
20993.0,64233.0,Y
20994.0,64234.0,Y
20995.0,64235.0,Y
20996.0,64236.0,Y
20999.0,64239.0,Y
21000.0,64240.0,Y
21002.0,64242.0,Y
21003.0,64243.0,Y
21004.0,64244.0,Y
21005.0,64245.0,Y
21006.0,64246.0,Y
21007.0,64247.0,Y
21008.0,64248.0,Y
21009.0,64249.0,Y
21010.0,64250.0,Y
21011.0,64251.0,Y
21014.0,64254.0,Y
21016.0,64256.0,Y
21017.0,64257.0,Y
21018.0,64258.0,Y
21019.0,64259.0,Y
21021.0,64261.0,Y
21022.0,64262.0,Y
21023.0,64263.0,Y
21024.0,64264.0,Y
21027.0,64267.0,Y
21029.0,64269.0,Y
21030.0,64270.0,Y
21031.0,64271.0,Y
21032.0,64272.0,Y
21033.0,64273.0,Y
21034.0,64274.0,Y
21035.0,64275.0,Y
21036.0,64276.0,Y
21037.0,64277.0,Y
21038.0,64278.0,Y
21039.0,64279.0,Y
21040.0,64280.0,Y
21041.0,64281.0,Y
21042.0,64282.0,Y
21043.0,64283.0,Y
21044.0,64284.0,Y
21045.0,64285.0,Y
21047.0,64287.0,Y
21048.0,64288.0,Y
21049.0,64289.0,Y
21050.0,64290.0,Y
21051.0,64291.0,Y
21052.0,64292.0,Y
21053.0,64293.0,Y
21054.0,64294.0,Y
21055.0,64295.0,Y
21056.0,64296.0,Y
21057.0,64297.0,Y
21058.0,64298.0,Y
21059.0,64299.0,Y
21061.0,64301.0,Y
21062.0,64302.0,Y
21063.0,64303.0,Y
21064.0,64304.0,Y
21065.0,64305.0,Y
21066.0,64306.0,Y
21067.0,64307.0,Y
21068.0,64308.0,Y
21070.0,64310.0,Y
21071.0,64311.0,Y
21072.0,64312.0,Y
21073.0,64313.0,Y
21074.0,64314.0,Y
21075.0,64315.0,Y
21076.0,64316.0,Y
21079.0,64319.0,Y
21080.0,64320.0,Y
21082.0,64322.0,Y
21083.0,64323.0,Y
21085.0,64325.0,Y
