Original_Order,handle,Progress
7318,25229,Y
7319,25231,Y
7320,25230,Y
7321,25232,Y
7322,25233,Y
7323,25234,Y
7324,25236,Y
7325,25235,Y
7326,25237,Y
7328,25239,Y
7329,25240,Y
7330,25244,Y
7331,25245,Y
7332,25246,Y
7333,25247,Y
7334,25248,Y
7335,25249,Y
7336,25250,Y
7337,25251,Y
7338,25252,Y
7339,25253,Y
7340,25254,Y
7342,25257,Y
7343,25256,Y
7344,25258,Y
7345,25259,Y
7346,25261,Y
7347,25260,Y
7348,25262,Y
7349,25263,Y
7350,25264,Y
7351,25265,Y
7352,25267,Y
7353,25266,Y
7354,25268,Y
7355,25269,Y
7356,25270,Y
7357,25271,Y
7359,25273,Y
7360,25274,Y
7361,25275,Y
7362,25276,Y
7363,25279,Y
7364,25280,Y
7365,25281,Y
7366,25282,Y
7369,25285,Y
7370,25286,Y
7371,25287,Y
7374,25290,Y
7375,25291,Y
7376,25292,Y
7377,25293,Y
7378,25294,Y
7379,25295,Y
7380,25296,Y
7382,25298,Y
7383,25299,Y
7384,25300,Y
7385,25301,Y
7386,25302,Y
7387,25303,Y
7388,25304,Y
7389,25305,Y
7390,25306,Y
7391,25307,Y
7392,25308,Y
7394,25310,Y
7395,25311,Y
7397,25313,Y
7398,25314,Y
7400,25317,Y
7401,25318,Y
7402,25319,Y
7403,25320,Y
7405,25322,Y
7406,25323,Y
7407,25324,Y
7409,25337,Y
7410,25338,Y
7411,25339,Y
7412,25340,Y
7413,25341,Y
7414,25342,Y
7415,25343,Y
7416,25344,Y
7417,25345,Y
7418,25346,Y
7419,25347,Y
7420,25348,Y
7421,25349,Y
7423,25351,Y
7424,25352,Y
7425,25353,Y
7426,25354,Y
7427,25355,Y
7431,25359,Y
7433,25361,Y
7436,25364,Y
7437,25366,Y
7438,25365,Y
7440,25369,Y
7441,25368,Y
7442,25371,Y
7443,25370,Y
7444,25372,Y
7445,25373,Y
7446,25374,Y
7447,25375,Y
7448,25376,Y
7450,25378,Y
7451,25379,Y
7452,25380,Y
7453,25381,Y
7455,25383,Y
7456,25385,Y
7457,25386,Y
7458,25387,Y
7459,25388,Y
7460,25389,Y
7463,25392,Y
7465,25394,Y
7466,25395,Y
7467,25396,Y
7468,25397,Y
7469,25398,Y
7471,25400,Y
7472,25401,Y
7473,25402,Y
7474,25403,Y
7475,25404,Y
7477,25406,Y
7478,25407,Y
7479,25408,Y
7480,25409,Y
7483,25415,Y
7484,25416,Y
7485,25417,Y
7486,25418,Y
7487,25419,Y
7490,25423,Y
7491,25424,Y
7492,25425,Y
7494,25427,Y
7497,25430,Y
7498,25431,Y
7499,25432,Y
7501,25434,Y
7502,25435,Y
7503,25436,Y
7504,25437,Y
7505,25438,Y
7506,25439,Y
7507,25442,Y
7508,25443,Y
7509,25445,Y
7510,25446,Y
7511,25447,Y
7512,25448,Y
7513,25449,Y
7514,25450,Y
7515,25451,Y
7516,25452,Y
7517,25453,Y
7518,25454,Y
7519,25455,Y
7520,25456,Y
7521,25457,Y
7522,25458,Y
7523,25459,Y
7524,25460,Y
7525,25461,Y
7526,25462,Y
7527,25463,Y
7528,25464,Y
7529,25465,Y
7530,25466,Y
7531,25467,Y
7532,25470,Y
7533,25471,Y
7534,25472,Y
7535,25473,Y
7536,25474,Y
7537,25475,Y
7538,25476,Y
7540,25478,Y
7541,25484,Y
7542,25486,Y
7543,25487,Y
7544,25489,Y
7545,25490,Y
7546,25491,Y
7548,25493,Y
7550,25525,Y
7551,25526,Y
7552,25527,Y
7553,25528,Y
7554,25529,Y
7555,25530,Y
7557,25532,Y
7558,25533,Y
7560,25535,Y
7563,25541,Y
7565,25543,Y
7567,25545,Y
7568,25546,Y
7569,25547,Y
7570,25548,Y
7571,25549,Y
7572,25550,Y
7573,25552,Y
7574,25553,Y
7575,25555,Y
7577,25557,Y
7579,25559,Y
7580,25560,Y
7581,25561,Y
7582,25562,Y
7584,25564,Y
7586,25569,Y
7587,25571,Y
7588,25574,Y
7589,25575,Y
7590,25576,Y
7591,25577,Y
7592,25578,Y
7593,25579,Y
7594,25580,Y
7595,25581,Y
7597,25583,Y
7598,25584,Y
7599,25585,Y
7600,25590,Y
7601,25591,Y
7602,25592,Y
7603,25593,Y
7604,25594,Y
7605,25595,Y
7606,25596,Y
7608,25598,Y
