Original_Order,handle,Progress
0,3468,Y
1,3535,Y
2,5129,Y
3,5160,Y
5,8886,Y
7,10772,Y
8,10794,Y
9,10955,Y
10,11062,Y
11,11307,Y
12,11357,Y
13,11616,Y
14,11644,Y
15,11699,Y
16,11702,Y
17,11711,Y
18,11753,Y
19,11768,Y
20,11868,Y
21,11966,Y
22,11967,Y
23,11968,Y
24,11969,Y
26,11971,Y
27,11972,Y
28,11973,Y
30,11975,Y
33,11978,Y
34,11979,Y
35,11980,Y
38,11983,Y
43,11988,Y
44,11989,Y
49,13069,Y
50,13146,Y
51,13148,Y
53,13386,Y
54,13395,Y
55,13600,Y
57,13621,Y
59,13698,Y
60,13719,Y
61,13735,Y
62,13757,Y
63,13834,Y
65,14268,Y
66,14269,Y
69,14278,Y
70,14279,Y
73,14284,Y
74,14285,Y
75,14306,Y
78,14553,Y
79,14554,Y
81,14556,Y
82,14557,Y
86,14561,Y
87,14562,Y
88,14563,Y
90,14565,Y
93,14568,Y
94,14569,Y
97,14572,Y
99,14574,Y
106,14581,Y
107,14582,Y
108,14583,Y
110,14585,Y
111,14586,Y
112,14587,Y
117,14592,Y
119,14594,Y
120,14595,Y
121,14596,Y
123,14598,Y
124,14599,Y
125,14600,Y
126,14601,Y
127,14602,Y
128,14603,Y
129,14604,Y
131,14606,Y
132,14607,Y
133,14608,Y
136,14611,Y
137,14612,Y
140,14615,Y
141,14616,Y
142,14617,Y
143,14618,Y
145,14620,Y
146,14621,Y
147,14622,Y
148,14623,Y
149,14624,Y
151,14626,Y
152,14627,Y
153,14628,Y
154,14629,Y
158,14633,Y
159,14634,Y
163,14638,Y
164,14639,Y
165,14640,Y
168,14643,Y
169,14644,Y
170,14645,Y
172,14647,Y
173,14648,Y
174,14649,Y
180,14655,Y
181,14656,Y
182,14657,Y
183,14658,Y
186,14661,Y
187,14662,Y
188,14663,Y
190,14665,Y
191,14666,Y
194,14669,Y
198,14673,Y
200,14675,Y
201,14676,Y
202,14677,Y
203,14678,Y
205,14680,Y
208,14683,Y
209,14684,Y
210,14685,Y
212,14687,Y
218,14693,Y
221,14696,Y
222,14697,Y
223,14698,Y
225,14700,Y
227,14702,Y
230,14705,Y
231,14706,Y
232,14707,Y
234,14709,Y
235,14710,Y
236,14711,Y
239,14714,Y
240,14715,Y
244,14719,Y
248,14723,Y
252,14727,Y
253,14728,Y
257,14732,Y
258,14733,Y
260,14735,Y
261,14736,Y
265,14741,Y
266,14742,Y
267,14743,Y
269,14745,Y
270,14746,Y
271,14747,Y
272,14748,Y
280,14756,Y
281,14757,Y
282,14758,Y
284,14760,Y
291,14767,Y
294,14840,Y
295,14856,Y
296,15304,Y
297,15487,Y
300,15499,Y
301,15500,Y
303,15502,Y
304,15503,Y
305,15504,Y
306,15505,Y
308,15507,Y
310,15509,Y
311,15510,Y
312,15511,Y
313,15512,Y
314,15513,Y
316,15515,Y
317,15516,Y
318,15517,Y
319,15518,Y
322,15521,Y
325,15524,Y
326,15525,Y
329,15528,Y
330,15529,Y
331,15530,Y
337,15536,Y
338,15537,Y
339,15538,Y
342,15541,Y
344,15543,Y
347,15546,Y
348,15547,Y
349,15548,Y
350,15549,Y
351,15550,Y
353,15552,Y
355,15554,Y
357,15556,Y
361,15560,Y
364,15563,Y
365,15564,Y
366,15565,Y
367,15566,Y
368,15567,Y
369,15568,Y
374,15573,Y
375,15574,Y
376,15575,Y
379,15578,Y
383,15582,Y
385,15584,Y
387,15586,Y
388,15587,Y
389,15588,Y
390,15589,Y
392,15591,Y
393,15592,Y
395,15594,Y
397,15596,Y
399,15598,Y
400,15599,Y
402,15601,Y
405,15966,Y
406,15967,Y
407,15968,Y
408,15969,Y
410,15971,Y
412,15973,Y
414,15975,Y
416,15977,Y
418,15979,Y
419,15980,Y
420,15981,Y
422,15983,Y
424,15985,Y
426,15987,Y
428,15989,Y
431,15992,Y
433,15994,Y
434,15995,Y
437,15998,Y
438,15999,Y
441,16002,Y
442,16003,Y
443,16004,Y
445,16006,Y
447,16008,Y
448,16009,Y
450,16011,Y
451,16012,Y
454,16015,Y
456,16017,Y
457,16018,Y
459,16020,Y
460,16021,Y
461,16022,Y
462,16023,Y
467,16028,Y
469,16031,Y
470,16032,Y
475,16037,Y
476,16038,Y
478,16040,Y
485,16047,Y
486,16048,Y
488,16050,Y
489,16051,Y
490,16052,Y
491,16053,Y
492,16054,Y
493,16055,Y
494,16056,Y
495,16057,Y
496,16058,Y
497,16059,Y
500,16062,Y
502,16064,Y
503,16065,Y
504,16066,Y
505,16067,Y
507,16069,Y
508,16070,Y
509,16071,Y
511,16073,Y
512,16074,Y
515,16077,Y
517,16079,Y
518,16080,Y
520,16082,Y
521,16083,Y
523,16085,Y
524,16086,Y
525,16087,Y
526,16088,Y
528,16090,Y
533,16095,Y
534,16096,Y
536,16098,Y
537,16099,Y
539,16101,Y
540,16102,Y
541,16103,Y
542,16104,Y
543,16105,Y
544,16106,Y
545,16107,Y
546,16108,Y
547,16109,Y
549,16111,Y
551,16113,Y
553,16116,Y
554,16117,Y
556,16119,Y
557,16120,Y
558,16121,Y
559,16122,Y
561,16124,Y
562,16125,Y
563,16126,Y
564,16127,Y
565,16128,Y
567,16130,Y
569,16132,Y
572,16135,Y
573,16136,Y
574,16137,Y
577,16140,Y
578,16141,Y
579,16142,Y
580,16143,Y
581,16144,Y
583,16146,Y
588,16151,Y
590,16153,Y
592,16155,Y
593,16156,Y
595,16158,Y
596,16159,Y
599,16162,Y
602,16165,Y
603,16166,Y
606,16169,Y
607,16170,Y
609,16172,Y
610,16173,Y
611,16174,Y
613,16176,Y
614,16177,Y
616,16179,Y
618,16181,Y
619,16182,Y
620,16183,Y
621,16184,Y
622,16185,Y
623,16186,Y
625,16188,Y
627,16190,Y
628,16191,Y
630,16193,Y
631,16194,Y
633,16196,Y
634,16197,Y
637,16200,Y
638,16201,Y
641,16204,Y
643,16206,Y
645,16208,Y
648,16211,Y
653,16216,Y
654,16217,Y
657,16220,Y
658,16221,Y
659,16222,Y
660,16223,Y
